data,ultima_atualizacao,microrregiao,mesorregiao,confirmadosAcumulados,mortesAcumuladas
2020-05-29,True,BREJO PARAIBANO,AGRESTE PARAIBANO,196,5
2020-05-29,True,CAJAZEIRAS,SERTAO PARAIBANO,102,8
2020-05-29,True,CAMPINA GRANDE,AGRESTE PARAIBANO,1533,17
2020-05-29,True,CARIRI OCIDENTAL,BORBOREMA,110,2
2020-05-29,True,CARIRI ORIENTAL,BORBOREMA,48,2
2020-05-29,True,CATOLE DO ROCHA,SERTAO PARAIBANO,7,7
2020-05-29,True,CURIMATAU OCIDENTAL,AGRESTE PARAIBANO,84,1
2020-05-29,True,CURIMATAU ORIENTAL,AGRESTE PARAIBANO,109,1
2020-05-29,True,ESPERANCA,AGRESTE PARAIBANO,71,2
2020-05-29,True,GUARABIRA,AGRESTE PARAIBANO,900,5
2020-05-29,True,ITABAIANA,AGRESTE PARAIBANO,417,4
2020-05-29,True,ITAPORANGA,SERTAO PARAIBANO,23,1
2020-05-29,True,JOAO PESSOA,MATA PARAIBANA,5364,194
2020-05-29,True,LITORAL NORTE,MATA PARAIBANA,335,6
2020-05-29,True,LITORAL SUL,MATA PARAIBANA,758,15
2020-05-29,True,PATOS,SERTAO PARAIBANO,565,21
2020-05-29,True,PIANCO,SERTAO PARAIBANO,49,2
2020-05-29,True,SAPE,MATA PARAIBANA,551,18
2020-05-29,True,SERIDO OCIDENTAL PARAIBANO,BORBOREMA,126,3
2020-05-29,True,SERIDO ORIENTAL PARAIBANO,BORBOREMA,75,0
2020-05-29,True,SERRA DO TEIXEIRA,SERTAO PARAIBANO,64,0
2020-05-29,True,SOUSA,SERTAO PARAIBANO,314,2
2020-05-29,True,UMBUZEIRO,AGRESTE PARAIBANO,70,2
2020-05-28,False,BREJO PARAIBANO,AGRESTE PARAIBANO,176,5
2020-05-28,False,CAJAZEIRAS,SERTAO PARAIBANO,95,8
2020-05-28,False,CAMPINA GRANDE,AGRESTE PARAIBANO,1392,17
2020-05-28,False,CARIRI OCIDENTAL,BORBOREMA,101,2
2020-05-28,False,CARIRI ORIENTAL,BORBOREMA,47,2
2020-05-28,False,CATOLE DO ROCHA,SERTAO PARAIBANO,7,7
2020-05-28,False,CURIMATAU OCIDENTAL,AGRESTE PARAIBANO,76,1
2020-05-28,False,CURIMATAU ORIENTAL,AGRESTE PARAIBANO,92,1
2020-05-28,False,ESPERANCA,AGRESTE PARAIBANO,66,2
2020-05-28,False,GUARABIRA,AGRESTE PARAIBANO,827,5
2020-05-28,False,ITABAIANA,AGRESTE PARAIBANO,372,4
2020-05-28,False,ITAPORANGA,SERTAO PARAIBANO,23,1
2020-05-28,False,JOAO PESSOA,MATA PARAIBANA,5093,194
2020-05-28,False,LITORAL NORTE,MATA PARAIBANA,297,6
2020-05-28,False,LITORAL SUL,MATA PARAIBANA,666,15
2020-05-28,False,PATOS,SERTAO PARAIBANO,514,21
2020-05-28,False,PIANCO,SERTAO PARAIBANO,44,2
2020-05-28,False,SAPE,MATA PARAIBANA,526,18
2020-05-28,False,SERIDO OCIDENTAL PARAIBANO,BORBOREMA,116,3
2020-05-28,False,SERIDO ORIENTAL PARAIBANO,BORBOREMA,66,0
2020-05-28,False,SERRA DO TEIXEIRA,SERTAO PARAIBANO,55,0
2020-05-28,False,SOUSA,SERTAO PARAIBANO,287,2
2020-05-28,False,UMBUZEIRO,AGRESTE PARAIBANO,66,2
